42.0 44.0 0.106778
43.0 58.5 0.676264
57.0 66.0 0.761139
30.2 48.0 1.023978
53.5 57.0 0.142371
44.0 61.0 2.269727
48.5 59.0 0.605078
44.0 44.0 0.049282
38.0 38.5 0.041069
35.5 47.5 1.062309
31.0 42.0 0.982909
48.0 59.5 1.807020
45.0 56.0 1.221108
43.0 45.0 1.215632
57.0 60.0 0.139633
51.0 67.0 2.083549
39.0 41.0 0.046544
43.0 57.5 1.568822
42.0 44.5 0.052020
42.0 44.0 0.071186
42.0 55.0 1.108853
35.0 35.0 0.068448
37.0 46.5 0.438065
36.0 66.0 1.382644
35.0 47.5 0.564009
45.0 79.0 1.946653
47.0 55.0 0.331287
47.0 55.0 0.279267
49.0 57.0 0.320335
49.0 56.5 0.232722
49.5 58.0 0.273791
58.0 70.0 1.322410
43.0 63.0 1.190991
41.0 50.5 0.484610
53.0 60.0 0.210819
47.5 71.0 1.371693
50.0 67.0 0.955530
38.0 53.0 0.955530
70.2 115.0 9.245920
72.3 115.0 9.248657
47.5 75.0 1.782379
39.0 69.0 1.763214
44.0 45.0 0.054758
44.0 44.0 0.120468
44.0 68.5 1.826185
43.0 47.5 0.153323
43.0 48.0 0.172488
35.0 59.0 0.848752
34.5 60.0 0.898034
59.5 72.0 0.517465
24.0 26.5 0.134158
27.0 28.0 0.424376
56.5 64.0 1.086950
36.0 111.0 9.733267
34.0 34.0 0.038331
51.0 52.0 0.703643
47.0 50.5 0.999337
21.0 50.0 2.436739
21.0 58.0 2.746123
47.0 49.5 0.131420
63.0 64.0 0.098565
54.0 63.0 1.013026
62.0 64.0 0.043807
60.0 62.0 0.076661
31.0 59.0 0.566747
52.0 64.0 0.881607
43.0 45.0 0.030117
25.0 42.5 1.462044
52.0 90.0 4.662659
27.0 66.0 1.322410
63.0 70.0 0.865179
51.0 78.5 3.756412
52.0 54.0 0.147847
45.0 71.5 1.010289
44.0 65.0 1.894633
35.0 60.0 0.939103
41.0 48.0 1.034930
60.0 60.0 0.027379
39.0 62.0 1.128019
45.0 45.0 0.032855
66.0 86.0 2.050694
56.0 67.0 0.892558
36.0 97.0 5.106201
40.0 69.0 6.026138
40.0 46.0 2.696841
42.0 73.0 2.757075
34.0 45.0 1.607153
43.0 47.0 0.065710
41.0 72.0 2.609228
53.0 57.0 0.405211
54.0 58.5 0.621505
54.0 63.0 0.985647
52.0 53.5 0.104041
56.5 71.0 2.015101
47.5 47.5 0.032855
31.0 70.0 5.062394
46.0 90.0 3.764625
55.0 93.0 3.616778
27.0 32.0 0.837800
33.0 37.0 0.739236
54.0 56.0 0.750187
56.0 100.0 5.445702
33.5 38.5 0.156061
43.0 100.0 5.360826
53.0 61.0 1.256700
50.0 68.0 0.544844
32.0 61.0 2.242348
78.0 117.0 6.072683
40.0 57.5 0.325811
75.0 82.0 0.446279
59.0 65.0 0.881607
49.5 96.0 4.027465
27.5 40.0 1.037668
27.5 71.0 3.635944
52.5 75.0 1.330624
34.0 39.0 0.837800
34.0 37.0 0.449017
73.0 74.0 0.065710
30.5 32.0 0.035593
28.0 50.5 2.146521
52.0 58.0 0.298432
35.0 45.0 1.013026
33.0 47.5 1.325148
18.9 19.4 0.021903
21.8 27.1 0.221771
18.8 27.5 0.150585
21.1 28.3 0.128682
27.8 27.8 0.114992
63.0 65.0 0.049282
42.0 64.0 2.332699
43.0 65.0 1.930226
68.0 75.0 0.279267
48.0 63.0 0.479134
80.0 80.0 0.284743
53.0 62.0 0.325811
32.0 43.0 0.955530
46.0 85.5 3.310132
39.0 61.0 1.393596
50.0 92.0 4.032940
80.0 95.0 0.572223
85.0 104.0 1.322410
46.0 75.0 3.312870
116.0 118.0 0.317597
63.0 78.0 1.045881
32.0 44.0 0.473658
58.0 66.0 0.454493
35.0 85.5 3.310132
39.0 60.1 1.341576
42.0 102.0 3.449766
41.0 98.5 4.325897
42.0 71.5 2.412098
48.0 74.0 3.378580
80.0 97.0 2.266989
77.0 81.0 0.336763
48.0 85.0 2.157472
53.0 61.0 0.331287
39.0 65.0 2.354602
63.0 68.0 0.301170
28.0 87.0 4.046630
44.0 72.0 2.058908
43.0 90.0 2.965156
20.0 38.5 0.988385
42.0 62.0 2.264251
42.0 50.0 1.015764
36.0 75.0 3.351201
36.0 73.0 3.364890
53.0 61.0 0.372356
76.0 85.0 0.544844
74.0 80.0 0.824111
53.0 58.0 1.056833
35.0 58.5 2.214969
46.0 101.0 3.039079
34.0 60.0 2.280678
60.5 66.0 0.361404
34.0 91.0 3.069196
34.0 34.5 0.019165
40.0 50.0 1.248487
70.0 97.0 2.321747
57.0 66.5 0.476396
38.0 47.0 1.054095
55.0 64.0 0.331287
54.0 80.0 2.094501
40.0 56.0 1.355265
42.0 71.0 2.277941
58.5 62.0 0.298432
66.0 90.0 1.297769
72.0 81.0 0.158799
41.0 61.0 1.538705
39.0 47.0 1.497636
66.0 67.0 0.279267
